Date,Adj_Close,Close,High,Low,Open,Volume,Momentum_10,RSI_14,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,EMA_50
2018-01-01,13657.2001953125,13657.2001953125,14112.2001953125,13154.7001953125,14112.2001953125,10291200000,,,,,,13657.2001953125,13657.2001953125,13657.2001953125
2018-01-02,14982.099609375,14982.099609375,15444.599609375,13163.599609375,13625.0,16846600192,,,,,,13898.090997869318,13783.381091889882,13709.157035079657
2018-01-03,15201.0,15201.0,15572.7998046875,14844.5,14978.2001953125,16871900160,,,,,,14134.98354371126,13918.392416471797,13767.660680762809
2018-01-04,15599.2001953125,15599.2001953125,15739.7001953125,14522.2001953125,15270.7001953125,21783199744,,,,,,14401.204753093303,14078.46934778996,13839.485759764757
2018-01-05,17429.5,17429.5,17705.19921875,15202.7998046875,15477.2001953125,23840899072,,,,,,14951.80388889452,14397.615124190916,13980.270631930845
2018-01-06,17527.0,17527.0,17712.400390625,16764.599609375,17462.099609375,18314600448,,,,,,15420.02136364097,14695.651779029877,14119.358058129636
2018-01-07,16477.599609375,16477.599609375,17579.599609375,16087.7001953125,17527.30078125,15866000384,,,,,,15612.308317410792,14865.361096205603,14211.838118962787
2018-01-08,15170.099609375,15170.099609375,16537.900390625,14208.2001953125,16476.19921875,18413899776,,,,,,15531.906734131557,14894.383811745545,14249.417000939737
2018-01-09,14595.400390625,14595.400390625,15497.5,14424.0,15123.7001953125,16659999744,,,,,,15361.632853494,14865.909200210255,14262.984977005826
2018-01-10,14973.2998046875,14973.2998046875,14973.2998046875,13691.2001953125,14588.5,18500800512,,,15561.23994140625,,,15291.02684462009,14876.136876827135,14290.840460444324
2018-01-11,13405.7998046875,13405.7998046875,15018.7998046875,13105.900390625,14968.2001953125,16534099968,-251.400390625,,15536.09990234375,,,14948.258291905073,14736.104774718598,14256.132983747979
2018-01-12,13980.599609375,13980.599609375,14229.900390625,13158.099609375,13453.900390625,12065699840,-1001.5,,15435.94990234375,,,14772.320349626876,14664.151901828733,14245.327753380412
2018-01-13,14360.2001953125,14360.2001953125,14659.5,13952.400390625,13952.400390625,12763599872,-840.7998046875,,15351.869921875,,,14697.389412478808,14635.204120255758,14249.832555024808
2018-01-14,13772.0,13772.0,14511.7998046875,13268.0,14370.7998046875,11084099584,-1827.2001953125,4531.453362255949,15169.14990234375,,,14529.136792028114,14552.994204040924,14231.094023455209
2018-01-15,13819.7998046875,13819.7998046875,14445.5,13641.7001953125,13767.2998046875,12750799872,-3609.7001953125,3228.728183445251,14808.1798828125,,,14400.166430693456,14483.166166007264,14214.964838405496
2018-01-16,11490.5,11490.5,13843.099609375,10194.900390625,13836.099609375,18853799936,-6036.5,-112.41266007308838,14204.5298828125,,,13871.136170567372,14198.150340673239,14108.123080036654
2018-01-17,11188.599609375,11188.599609375,11678.0,9402.2900390625,11431.099609375,18830600192,-5289.0,-92.36614616114397,13675.6298828125,,,13383.402250350577,13911.526461501979,13993.63196354012
2018-01-18,11474.900390625,11474.900390625,12107.2998046875,10942.5,11198.7998046875,15020399616,-3695.19921875,-87.14691864125606,13306.1099609375,,,13036.401912218653,13679.466835704172,13894.858176366977
2018-01-19,11607.400390625,11607.400390625,11992.7998046875,11172.099609375,11429.7998046875,10740400128,-2988.0,-32.57244839252377,13007.3099609375,,,12776.583453747078,13482.12717426806,13805.153949475136
2018-01-20,12899.2001953125,12899.2001953125,13103.0,11656.2001953125,11656.2001953125,11801700352,-2074.099609375,-66.78552067403456,12799.9,14180.569970703125,,12798.877406758973,13426.610319129435,13769.62635127268
2018-01-21,11600.099609375,11600.099609375,12895.900390625,11288.2001953125,12889.2001953125,9935179776,-1805.7001953125,-63.36648273321373,12619.32998046875,14077.71494140625,,12580.917807234613,13252.65691820044,13684.546871198261
2018-01-22,10931.400390625,10931.400390625,11966.400390625,10240.2001953125,11633.099609375,10537400320,-3049.19921875,-72.91624236135237,12314.41005859375,13875.17998046875,,12281.005549669228,13031.58486795516,13576.58034254833
2018-01-23,10868.400390625,10868.400390625,11377.599609375,10129.7001953125,10944.5,9660609536,-3491.7998046875,-82.92729260296485,11965.230078125,13658.55,,12024.168248024822,12825.56729868562,13470.377207178788
2018-01-24,11359.400390625,11359.400390625,11501.400390625,10639.7998046875,10903.400390625,9940989952,-2412.599609375,-88.652184639763,11723.9701171875,13446.560009765624,,11903.301364861218,12685.9323550608,13387.593802608051
